"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","610","","","","","672","","","","","","","674","674","674","674","","447","","","","447","447","447","447","447","423","423","423","423","423","423","423","423","","","","","",
"Andorra","AND","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","22707","22596","22808","23157","23455","25239","25445","25602","25953","25725","25071","24836","25125","23379","23379","23694","23434","23503","23585","23732","24000","24436","23874","24186","24864","25427","25122","25122","24371","24363","24362","26575","26180","26179.34","27334","25325.94","25325.94","","",
"United Arab Emirates","ARE","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","34192","34106","34029","34061","34057","34159","34140","34140","34059","34059","34059","34059","","","","","","","","","","","","","","35753","35753","35753","35753","25023","25023","25023","25023","25023","25023","28527","28527","","",
"Armenia","ARM","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","845","845","845","845","845","845","845","845","845","845","845","845","845","845","845","845","845","845","845","845","842","711","711","711","711","732","","","845","","826","826","826","826","703.2","703.2","679.36","","",
"American Samoa","ASM","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","7592","7554","7638","7647","7450","7450","7450","7315","7196","7147","","","","","","","","9458","","","9499","9508","9514","9474","","9528","9639","9639","9661","9674","","","","","","","","","",
"Austria","AUT","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","5857","5811","5777","5773","5762","5766","5745","5747","5630","5641","5624","5623","5605","5600","5636","5672","5672","5672","5643","5345","5780","5600","5647","5655","5359","5781","5818","5818","5755","5784","5066","5021","4985","4859","4865","4937","4917","","",
"Azerbaijan","AZE","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2117","2116","2116","2116","2122","","2122","2122","2122","","2099","2079","2079","2079","2068","2068.1","2066.4","2067.8","2074","","",
"Burundi","BDI","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","3978","3954","3928","3860","3776","3667","3618","3568","3554","3513","3479","3466","3432","3410","3396","3368","3380","3422","3410","3472","3471","3454","3518","3521","3536","3542","3560","3374","3513","3578","3578","3578","3575","3582","3631","3607","3602","","",
"Benin","BEN","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","758","758","758","","","","","","","","","","",
"Burkina Faso","BFA","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","622","622","622","622","622","622","622","622","622","622","","","","",
"Bangladesh","BGD","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","2874","","","2874","2892","2892","2818","2745.65","2745.65","2746","2745.65","2745.65","2745.65","2706.01","2706.01","2706.1","2706.1","2733.51","2733.51","2768","2768","2768","2765","2855","2855","2855","2855","2855","2835","2835","2835","2835","2835","2835","2835","","","","",
"Bulgaria","BGR","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","4341","4267","4273","4278","4278","4297","4294","4300","4300","4300","4299","4299","4299","4300","4146","3979","3979","4292","4290","4290","4320","4320","4318","4318","4259","4163","4155","4027","4159","4150","4098","3947","4070","4032","4023","4019","4029","","",
"Bahrain","BHR","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1032","1101","1101","1032","1001","1000","1024","1103","1016","1016","1026","1026","1027","1027.05","1027.05","1027.05","1018.05","","",
"Belarus","BLR","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","5512","5446","5446","5443","5443","5540","5459","5463","5500","5500","5569","5567","5567","","5543","5543","","5542","","5523","5512","5509","5512","5502","5498","5498","5494","5494","5491","5510","5503","5482","5462","5469","5470","5469","5459","","",
"Belize","BLZ","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2866","2866","","","","","","","","","",
"Brazil","BRA","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","5054","5052","5063","5072","5072","5072","5035","4899","4994","5123","4916","4915","4915","4933","4933","4651","4651","4183","","","","","","","","29314","29314","29487","29817","29817","29817","29817","29817","29817","29817","","","","",
"Barbados","BRB","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","888","888","888","888","888","888","888","","","","","",
"Central African Republic","CAF","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","52507","53605","51697","51745","50708","","","","","","","","","","","","","","","","","","","57671","57481","57042","57216","58345","58345","52002","52002","52002","52131","","","","",
"Central Europe and the Baltics","CEB","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","59129.5","59063","59096.1","59077.2","59036","59113.7","59153.1","58764.6","58690.6","58973.9","58547.3","58738.4","56180.5","70654","69856.4","68978","67631.66","68170","68053","68557","68408","65573","65756","65141","64524","64728","64342","64119","64385","64177","64026","63804","63753","63069","62937","62853.9","62875.33","","",
"Switzerland","CHE","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","2943","2952","2956","2961","2984","2986","2986","2990","2990","2994","2978","2982","2985","2983","2983","2987","2989","2939","2910","2902","2975","2959","2982","2990","3140","3252","3330","3619","3499","3544","3543","3574","3551","3591.96","4018.72","3976.32","","","",
"Channel Islands","CHI","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","7763","7763","7763","7493","7335","7227","7280","6969","","","6916","","","","","","","","","","","6623","6328","6330","5992","","5898","5898","5898","5352","5352","5520","5529","5529","5529","","","","",
"China","CHN","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","49940","50182","50591","51604","51604","52119","52487","52611","52767","53187","53378","53416","53566","53802","53992","54616","56000","57566","57584","57923","58656","59079","59530","60446","61015","62200","63412","63637","60809","65491","66239","66050","66298","66585","66989","67212","67092","","",
"Cote d'Ivoire","CIV","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","1180","1182","1182","1182","1182","1182","1167","1167","","1155","709","650","651","651","651","639","","639","","","639","639","639","","","639","639","639","639","639","639","639","639","639","639","639","","","",
"Cameroon","CMR","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","1143","1143","1143","1115","1115","1115","1115","1104","1104","1104","1104","1104","1106","1006","1006","1006","1006","1006","1006","1006","1006","1016","1016","1016","1016","974","982","974","977","977","977","977","977","976.5","976","","","","",
"Congo, Dem. Rep.","COD","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","4511","4511","4511","4511","4511","4511","4511","4511","4511","4511","4511","","","","","4752","4752","4752","4752","4752","","","","","","3641","3641","3641","4007","3641","3641","3641","3641","3641","3641","3641","3641","","",
"Congo, Rep.","COG","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","519","519","519","519","518.5","518.5","609.5","609.5","609.5","609.5","","510","510","600","706","609","","","","","900","900","1026","","795","795","795","795","795","","","","","","","","","","",
"Colombia","COL","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","2822","2822","2710","2680","2622","2622","2616","2616","","","2532","","","","1915","1800","","","","","","","","","","2137","2137","","1663","1672","","","","","","","","","",
"Comoros","COM","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","568","568","568","568","568","568","568","480","","","","412","","","","","424","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","4382","","","","4226","","4161","","","4807","","","","","","","4667","","4667","","","","","","","","","","5076","5076","","","","","","","","","",
"Curacao","CUW","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9441","9413","9430","9435","9430","9430","9365","9365","9444","9499","9501","9489","9513","9491","9491","9487","9539","9569","9470","9469","9459.03","9457.61","9466.89","9462.69","","",
"Germany","DEU","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41401","41718","40826","38450","38127","37477","36652","35986","35804","36044","34715","34228","34128","33897","33862","33706","33708","33576","33509","33449","33426","33331","33380","","",
"Djibouti","DJI","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","781","","","","","","","","","","","","","",
"Dominica","DMA","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","2015","2015","2015","2448","2448","2471","2471","2476","2476","2344","2344","2344","2306","2311","2349","2349","2349","2232","2264","2324","2047","2047","2273","2273","2212","2212","2011","2133","2133","2131","2131","2131","2131","2131","2131","","","","",
"Dominican Republic","DOM","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","3907","3761","3761","3761","3841","3841","3841","3841","4135","3836","4293","4047","4290","3945","3945","4290","3973","3973","3973","3973","3793","","","","3572","3572","3572","3572","3572","","","4691","4691","4691.14","3799.94","3799.94","","","",
"East Asia & Pacific (excluding high income)","EAP","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","70564.7","70806.7","71215.7","72257.7","72257.7","72823.7","73184.7","73480.7","73726.7","74056.7","74531.635483871","73103.635483871","73262.635483871","73498.635483871","73737.635483871","74509.635483871","75893.635483871","77624.635483871","77668.935483871","78007.935483871","78774.935483871","79152.935483871","79318.935483871","80372.935483871","80889.935483871","82182.935483871","83404.935483871","83629.935483871","81172.935483871","85534.935483871","86282.935483871","86677.935483871","87188.935483871","87188.935483871","87879.935483871","88933.935483871","87974.935483871","","",
"Early-demographic dividend","EAR","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","194942","194607","196113","196665","197404","199163","199154.5","199073.15","199293.02","201837.37","204294.618483871","206316.555483871","207328.555483871","206648.915483871","207364.715483871","206250.905483871","211588.055483871","212232.445483871","213347.445483871","212732.275483871","215546.935483871","216331.935483871","216099.935483871","213918.935483871","214410.935483871","218053.935483871","217446.935483871","222465.935483871","222469.935483871","209572.935483871","211232.935483871","212099.935483871","212033.935483871","212183.275483871","213707.935483871","215126.725483871","215271.985483871","","",
"East Asia & Pacific","EAS","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","109099.7","109605.7","110857.7","111752.7","111294.7","111555.7","111021.7","110393.7","110357.7","109798.7","110146.635483871","108600.635483871","108762.635483871","109002.635483871","109247.635483871","109898.635483871","111281.635483871","115382.635483871","115428.935483871","115767.935483871","116568.935483871","116948.935483871","117064.935483871","118060.935483871","118559.935483871","120205.935483871","121491.935483871","121723.935483871","119687.935483871","124044.935483871","124725.935483871","125473.935483871","126014.935483871","125989.235483871","127033.935483871","124578.835483871","122156.335483871","","",
"Europe & Central Asia (excluding high income)","ECA","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","160437.2","160258.2","160255.2","160273.2","160252.2","161922.2","161833.2","161920.2","162154.2","162642.2","169210.2","171789.6","173450.2","172588","172659","172376","172426.842105263","171711","171176","171043","170827","170284","170391","170101","169492","170169","170247","169028","169425","170400","171384","171109","170321","170129.6","171414","171122.38","172585.21","","",
"Europe & Central Asia","ECS","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","333254.7","332951.2","333823.3","334028.4","333325.2","333470.9","332770.3","332171.8","331835.8","331564.1","377840.5","380876","377896.7","391796","390022.4","389472","387044.502105263","384223","383051","383953","383461","376215","376592","376660","373574","375805","379704","374677","376106","380800","397564","382492","376486","376377.6","375844","375241.46","377384.22","","",
"Ecuador","ECU","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","4437","4437","4437","4437","4437","5763","5870","","","","4751","4751","","4570","","4810","4907","4976","5018","5026","5024","5125","5150","","5150","5150","5195","5195","5063","5195","5195","5195","5195","5195","5195","5153","5153","","",
"Euro area","EMU","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","97515","97642","98113","98044","97830","96786","96307","96138","95823","95169","136278","135676","134870","138257","137716","137907","136400","134161","133530","133977","134810","130500","130173","130818","129111","130222","130576","130189","131006","134673","135078","135279","130277","131230","131168","129368.77","130312.2","","",
"Eritrea","ERI","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","13450","13543","13572","13572","13575","12710","12721","12686","12550","12565","12560","12570","","12601","12646","12280","12284","12294","12303","14059","13866","13868","13856","14387","14395","14484","14635","14832","15046","15043","15317","15680","15665","15582","15453","15711","15650","","",
"Estonia","EST","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","993","1010","1010","1010","1010","1019","1019","1019","1019","1026","1026","1026","1018","1024","1024","1021","1020","1000","","968","968","967","967","959","959","959","801","962","816","929","787","792","792","792","1018","1016","1229","","",
"Ethiopia","ETH","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","781","781","781","781","781","781","781","781","781","781","781","781","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","181238.5","181014","181923.1","182093.2","181449","179964.7","179379.1","178749.6","178202.6","177483.9","217212.3","217681.4","213103.5","227818","225813.4","225377","222896.66","221158","220532","221575","221256","214569","214814","214877","211958","213241","217020","212616","214011","217668","233397","218379","213307","213398","211462","210722.76","211408.69","","",
"Fragile and conflict affected situations","FCS","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","25511","25523","25585","25645","25651.5","26109.5","25633.5","25663.5","25719.5","25761.5","25486.435483871","25338.935483871","25349.935483871","24556.935483871","24662.935483871","24605.935483871","24605.935483871","24692.935483871","24692.935483871","24692.935483871","25238.935483871","25238.935483871","25342.935483871","25342.935483871","26011.935483871","25831.935483871","25172.935483871","25172.935483871","24738.935483871","24295.935483871","24295.935483871","24608.935483871","24213.935483871","24213.935483871","24213.935483871","24213.935483871","24213.935483871","","",
"Finland","FIN","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","6075","6092","6090","6000","5998","5900","5899","5900","5884","5884","5867","5874","5874","5885","5880","5880","5859","5865","5867","5836","5854","5850","5850","5851","5741","5732","5905","5899","5919","5919","5919","5944","5944","5944","5944","5923","5926","","",
"Fiji","FJI","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","34362","34384","34595","34710","34688","34676","34639","34646","34563","34322","34070","33446","32731","32579","32275","31939","31700","31754","31727","31423","32515","29445","29352","29269","29246","29286","29547","29488","29901","33778","33608","34621","30013","30013","30013","","","","",
"Faroe Islands","FRO","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","341","341","341","341","341","341","648","648","650","684","683","683","683","683","683","683","814","814","","814","814","731","","731","731","810","810","810","810","810","810","810","810","810","810","810","810","","",
"United Kingdom","GBR","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","17645","17431","17431","17230","16964","16803","16729","16670","16630","16599","16588","16584","16528","16536","16536","16666","16666","16656","16659","16649","15991","16652","16652","","16116","16208","19966","16208","16321","16173","","16408","16423","15857","16530.1","16241.1","","","",
"Georgia","GEO","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","1465","","","","","1583","","1583","1583","","1575","1575","1575","1575","1575","1562","1565","1565","1575","1575","","","1513","1513","1566","1566","1566","","1453.4","1453.4","1491","1415","","",
"Ghana","GHA","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","950","950","950","950","950","950","950","950","","","953","","","","","","","","","","953","","","977","977","","","","953","","","","","","","","","","",
"Gibraltar","GIB","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","2461","2461","2461","2461","2461","2461","2461","2479","2479","2479","2484","2484","2484","2497","2497","2850","2474","2503","2299","2299","2299","2377","2383","2414","2449","2576","2509","2551","2552","","2552","2554","2554","2265","2238","2240","2240","","",
"Grenada","GRD","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
